Date,Year,Month,Exchange_Rate
1970-01-01,1970,1,5.95237000495237
1970-02-01,1970,2,5.95237000495237
1970-03-01,1970,3,5.95237000495237
1970-04-01,1970,4,5.95237000495237
1970-05-01,1970,5,5.95237000495237
1970-06-01,1970,6,5.95237000495237
1970-07-01,1970,7,5.95237000495237
1970-08-01,1970,8,5.95237000495237
1970-09-01,1970,9,5.95237000495237
1970-10-01,1970,10,5.95237000495237
1970-11-01,1970,11,5.95237000495237
1970-12-01,1970,12,5.95237000495237
1971-01-01,1971,1,5.93494862096378
1971-02-01,1971,2,5.95237000495237
1971-03-01,1971,3,5.95237000495237
1971-04-01,1971,4,5.95237000495237
1971-05-01,1971,5,5.95237000495237
1971-06-01,1971,6,5.95237000495237
1971-07-01,1971,7,5.95237000495237
1971-08-01,1971,8,5.95237000495237
1971-09-01,1971,9,5.95237000495237
1971-10-01,1971,10,5.95237000495237
1971-11-01,1971,11,5.95237000495237
1971-12-01,1971,12,5.74331339708926
1972-01-01,1972,1,5.48246769808003
1972-02-01,1972,2,5.48246769808003
1972-03-01,1972,3,5.48246769808003
1972-04-01,1972,4,5.48246769808003
1972-05-01,1972,5,5.48246769808003
1972-06-01,1972,6,5.48246769808003
1972-07-01,1972,7,6.176999999
1972-08-01,1972,8,6.399999999
1972-09-01,1972,9,6.399999999
1972-10-01,1972,10,6.461999999
1972-11-01,1972,11,6.611999999
1972-12-01,1972,12,6.697999999
1973-01-01,1973,1,6.689999999
1973-02-01,1973,2,6.555999999
1973-03-01,1973,3,6.394999999
1973-04-01,1973,4,6.337999999
1973-05-01,1973,5,6.224999999
1973-06-01,1973,6,6.101999999
1973-07-01,1973,7,6.148999999
1973-08-01,1973,8,6.271999999
1973-09-01,1973,9,6.389999999
1973-10-01,1973,10,6.465999999
1973-11-01,1973,11,6.552999999
1973-12-01,1973,12,6.693999999
1974-01-01,1974,1,6.829999999
1974-02-01,1974,2,6.862999999
1974-03-01,1974,3,6.688999999
1974-04-01,1974,4,6.517999999
1974-05-01,1974,5,6.470999999
1974-06-01,1974,6,6.499999999
1974-07-01,1974,7,6.530999999
1974-08-01,1974,8,6.601999999
1974-09-01,1974,9,6.703999999
1974-10-01,1974,10,6.714999999
1974-11-01,1974,11,6.692999999
1974-12-01,1974,12,6.692999999
1975-01-01,1975,1,6.597999999
1975-02-01,1975,2,6.502999999
1975-03-01,1975,3,6.456999999
1975-04-01,1975,4,6.483999999
1975-05-01,1975,5,6.674999999
1975-06-01,1975,6,6.832999999
1975-07-01,1975,7,6.991999999
1975-08-01,1975,8,7.255999999
1975-09-01,1975,9,7.466999999
1975-10-01,1975,10,7.535999999
1975-11-01,1975,11,7.597999999
1975-12-01,1975,12,7.686999999
1976-01-01,1976,1,7.712999999
1976-02-01,1976,2,7.712999999
1976-03-01,1976,3,7.872999999
1976-04-01,1976,4,8.195999999
1976-05-01,1976,5,8.501999999
1976-06-01,1976,6,8.660999999
1976-07-01,1976,7,8.679999999
1976-08-01,1976,8,8.679999999
1976-09-01,1976,9,8.706
1976-10-01,1976,10,8.755999999
1976-11-01,1976,11,8.719999999
1976-12-01,1976,12,8.743999999
1977-01-01,1977,1,8.77
1977-02-01,1977,2,8.711
1977-03-01,1977,3,7.997999999
1977-04-01,1977,4,7.285999999
1977-05-01,1977,5,7.285999999
1977-06-01,1977,6,7.285999999
1977-07-01,1977,7,7.285999999
1977-08-01,1977,8,7.312999999
1977-09-01,1977,9,7.973999999
1977-10-01,1977,10,8.569
1977-11-01,1977,11,12.239999999
1977-12-01,1977,12,15.755
1978-01-01,1978,1,15.452999999
1978-02-01,1978,2,15.327999999
1978-03-01,1978,3,15.442999999
1978-04-01,1978,4,15.736999999
1978-05-01,1978,5,15.89
1978-06-01,1978,6,15.794999999
1978-07-01,1978,7,15.636999999
1978-08-01,1978,8,15.619999999
1978-09-01,1978,9,15.676999999
1978-10-01,1978,10,15.606999999
1978-11-01,1978,11,15.577999999
1978-12-01,1978,12,15.562999999
1979-01-01,1979,1,15.5718333325833
1979-02-01,1979,2,15.502999999
1979-03-01,1979,3,15.484999999
1979-04-01,1979,4,15.527
1979-05-01,1979,5,15.587999999
1979-06-01,1979,6,15.614999999
1979-07-01,1979,7,15.609999999
1979-08-01,1979,8,15.604999999
1979-09-01,1979,9,15.627999999
1979-10-01,1979,10,15.681999999
