Date,Year,Month,Exchange_Rate,YoY_Change,Rolling_Avg,Exchange_Rate_Winsorized,Exchange_Rate_Change
1970-01-01,1970,1,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-02-01,1970,2,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-03-01,1970,3,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-04-01,1970,4,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-05-01,1970,5,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-06-01,1970,6,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-07-01,1970,7,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-08-01,1970,8,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-09-01,1970,9,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-10-01,1970,10,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-11-01,1970,11,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1970-12-01,1970,12,5.95237000495237,0.0,5.95237000495237,5.95237000495237,0.0
1971-01-01,1971,1,5.93494862096378,0.0,5.95091822295332,5.93494862096378,-0.29267978929561345
1971-02-01,1971,2,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.29353891838344026
1971-03-01,1971,3,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.0
1971-04-01,1971,4,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.0
1971-05-01,1971,5,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.0
1971-06-01,1971,6,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.0
1971-07-01,1971,7,5.95237000495237,0.0,5.95091822295332,5.95237000495237,0.0
1971-08-01,1971,8,5.95237000495237,0.0,5.950918222953322,5.95237000495237,0.0
1971-09-01,1971,9,5.95237000495237,0.0,5.950918222953322,5.95237000495237,0.0
1971-10-01,1971,10,5.95237000495237,0.0,5.950918222953322,5.95237000495237,0.0
1971-11-01,1971,11,5.95237000495237,0.0,5.950918222953322,5.95237000495237,0.0
1971-12-01,1971,12,5.74331339708926,0.0,5.933496838964729,5.74331339708926,-3.5121574715478943
1972-01-01,1972,1,5.48246769808003,0.0,5.8957900953910825,5.48246769808003,-4.54172845837435
1972-02-01,1972,2,5.48246769808003,0.0,5.856631569818387,5.48246769808003,0.0
1972-03-01,1972,3,5.48246769808003,0.0,5.817473044245692,5.48246769808003,0.0
1972-04-01,1972,4,5.48246769808003,0.0,5.778314518672997,5.48246769808003,0.0
1972-05-01,1972,5,5.48246769808003,0.0,5.739155993100302,5.48246769808003,0.0
1972-06-01,1972,6,5.48246769808003,0.0,5.699997467527607,5.48246769808003,0.0
1972-07-01,1972,7,6.176999999,0.0,5.718716633698243,6.176999999,12.668242462480839
1972-08-01,1972,8,6.399999999,0.0,5.756019133202212,6.399999999,3.610166748196564
1972-09-01,1972,9,6.399999999,0.0,5.793321632706181,6.399999999,0.0
1972-10-01,1972,10,6.461999999,0.0,5.835790798876818,6.461999999,0.9687500001513527
1972-11-01,1972,11,6.611999999,0.0,5.890759965047454,6.611999999,2.321262767304444
1972-12-01,1972,12,6.697999999,0.0,5.970317181873348,6.697999999,1.3006654569420295
1973-01-01,1973,1,6.689999999,0.0,6.0709448736166784,6.689999999,-0.11943863841735736
1973-02-01,1973,2,6.555999999,0.0,6.160405898693344,6.555999999,-2.002989536921229
1973-03-01,1973,3,6.394999999,0.0,6.23645025710334,6.394999999,-2.4557657111738407
1973-04-01,1973,4,6.337999999,0.0,6.3077446155133385,6.337999999,-0.8913213449400104
1973-05-01,1973,5,6.224999999,0.0,6.36962230725667,6.224999999,-1.7828968131560319
1973-06-01,1973,6,6.101999999,0.0,6.4212499990000005,6.101999999,-1.9759036147752318
1973-07-01,1973,7,6.148999999,0.0,6.418916665666667,6.148999999,0.7702392659407087
1973-08-01,1973,8,6.271999999,0.0,6.408249999,6.271999999,2.000325256464519
1973-09-01,1973,9,6.389999999,0.0,6.407416665666666,6.389999999,1.8813775513203623
1973-10-01,1973,10,6.465999999,0.0,6.407749999,6.465999999,1.18935837264309
1973-11-01,1973,11,6.552999999,0.0,6.4028333323333335,6.552999999,1.3454995362427224
1973-12-01,1973,12,6.693999999,0.0,6.402499999,6.693999999,2.1516862509006085
1974-01-01,1974,1,6.829999999,0.0,6.414166665666667,6.829999999,2.0316701526787773
1974-02-01,1974,2,6.862999999,0.0,6.439749999,6.862999999,0.4831625183723487
1974-03-01,1974,3,6.688999999,0.0,6.464249999000001,6.688999999,-2.5353344022345015
1974-04-01,1974,4,6.517999999,0.0,6.479249999,6.517999999,-2.556435939984525
1974-05-01,1974,5,6.470999999,0.0,6.499749999,6.470999999,-0.7210800860265487
1974-06-01,1974,6,6.499999999,0.0,6.532916665666666,6.499999999,0.4481532994047521
1974-07-01,1974,7,6.530999999,0.0,6.564749999,6.530999999,0.4769230769964494
1974-08-01,1974,8,6.601999999,0.0,6.592249999,6.601999999,1.0871229522411818
1974-09-01,1974,9,6.703999999,0.0,6.618416665666667,6.703999999,1.5449863680013554
1974-10-01,1974,10,6.714999999,0.0,6.639166665666667,6.714999999,0.16408114560919618
1974-11-01,1974,11,6.692999999,0.0,6.650833332333334,6.692999999,-0.32762472082316085
1974-12-01,1974,12,6.692999999,0.0,6.650749998999999,6.692999999,0.0
1975-01-01,1975,1,6.597999999,0.0,6.631416665666666,6.597999999,-1.4193933962975414
1975-02-01,1975,2,6.502999999,0.0,6.601416665666666,6.502999999,-1.439830251809615
1975-03-01,1975,3,6.456999999,0.0,6.582083332333333,6.456999999,-0.7073658312636288
1975-04-01,1975,4,6.483999999,0.0,6.579249998999999,6.483999999,0.41815084410998793
1975-05-01,1975,5,6.674999999,0.0,6.596249999,6.674999999,2.945712523588173
1975-06-01,1975,6,6.832999999,0.0,6.623999999,6.832999999,2.36704119885649
1975-07-01,1975,7,6.991999999,0.0,6.662416665666666,6.991999999,2.326942778037022
1975-08-01,1975,8,7.255999999,0.0,6.716916665666666,7.255999999,3.7757437076338274
1975-09-01,1975,9,7.466999999,0.0,6.780499999000001,7.466999999,2.9079382583941493
1975-10-01,1975,10,7.535999999,0.0,6.848916665666668,7.535999999,0.9240658900393717
1975-11-01,1975,11,7.597999999,0.0,6.924333332333333,7.597999999,0.8227176221898391
1975-12-01,1975,12,7.686999999,0.0,7.007166665666667,7.686999999,1.1713608845974388
1976-01-01,1976,1,7.712999999,0.0,7.100083332333333,7.712999999,0.33823338107690226
1976-02-01,1976,2,7.712999999,0.0,7.200916665666667,7.712999999,0.0
1976-03-01,1976,3,7.872999999,0.0,7.318916665666666,7.872999999,2.074419810978134
1976-04-01,1976,4,8.195999999,0.0,7.461583332333333,8.195999999,4.1026292396929565
1976-05-01,1976,5,8.501999999,0.0,7.613833332333333,8.501999999,3.7335285509679794
1976-06-01,1976,6,8.660999999,0.0,7.766166665666667,8.660999999,1.8701482006433734
1976-07-01,1976,7,8.679999999,0.0,7.906833332333334,8.679999999,0.21937420623707737
1976-08-01,1976,8,8.679999999,0.0,8.025499998999999,8.679999999,0.0
1976-09-01,1976,9,8.706,0.0,8.128749999083333,8.706,0.29953918206215846
1976-10-01,1976,10,8.755999999,0.0,8.230416665749999,8.755999999,0.5743165518033555
1976-11-01,1976,11,8.719999999,0.0,8.32391666575,8.719999999,-0.41114664234936926
1976-12-01,1976,12,8.743999999,0.0,8.411999999083333,8.743999999,0.27522935782970936
1977-01-01,1977,1,8.77,0.0,8.5000833325,8.77,0.2973467635289717
1977-02-01,1977,2,8.711,0.0,8.58324999925,8.711,-0.6727480045609968
1977-03-01,1977,3,7.997999999,0.0,8.593666665916667,7.997999999,-8.185053392262652
1977-04-01,1977,4,7.285999999,0.0,8.517833332583335,7.285999999,-8.902225557502152
1977-05-01,1977,5,7.285999999,0.0,8.41649999925,7.285999999,0.0
1977-06-01,1977,6,7.285999999,0.0,8.301916665916666,7.285999999,0.0
1977-07-01,1977,7,7.285999999,0.0,8.18574999925,7.285999999,0.0
1977-08-01,1977,8,7.312999999,0.0,8.071833332583333,7.312999999,0.37057370304289794
1977-09-01,1977,9,7.973999999,0.0,8.0108333325,7.973999999,9.038698209905483
1977-10-01,1977,10,8.569,0.0,7.99524999925,8.569,7.461750703218195
1977-11-01,1977,11,12.239999999,0.0,8.288583332583334,12.239999999,42.840471455245634
1977-12-01,1977,12,15.755,0.0,8.872833332666668,15.755,28.717320271954037
1978-01-01,1978,1,15.452999999,0.0,9.429749999250001,15.452999999,-1.9168517994287648
1978-02-01,1978,2,15.327999999,0.0,9.981166665833333,15.327999999,-0.808904419906098
1978-03-01,1978,3,15.442999999,0.0,10.6015833325,15.442999999,0.7502609603829757
1978-04-01,1978,4,15.736999999,0.0,11.3058333325,15.736999999,1.903775173340927
1978-05-01,1978,5,15.89,0.0,12.022833332583334,15.89,0.972231054265249
1978-06-01,1978,6,15.794999999,0.0,12.731916665916666,15.794999999,-0.5978602957835144
1978-07-01,1978,7,15.636999999,0.0,13.427833332583333,15.636999999,-1.0003165559354432
1978-08-01,1978,8,15.619999999,0.0,14.120083332583333,15.619999999,-0.10871650573056613
1978-09-01,1978,9,15.676999999,0.0,14.76199999925,15.676999999,0.36491677339083317
1978-10-01,1978,10,15.606999999,0.0,15.348499999166668,15.606999999,-0.4465140014318192
1978-11-01,1978,11,15.577999999,0.0,15.626666665833334,15.577999999,-0.1858140578064882
1978-12-01,1978,12,15.562999999,0.0,15.610666665749998,15.562999999,-0.09628963924098732
1979-01-01,1979,1,15.5718333325833,0.0,15.620569443548609,15.5718333325833,0.05675855287454734
1979-02-01,1979,2,15.502999999,0.0,15.63515277688194,15.502999999,-0.4420374410203154
1979-03-01,1979,3,15.484999999,0.0,15.63865277688194,15.484999999,-0.11610656002813968
1979-04-01,1979,4,15.527,0.0,15.621152776965275,15.527,0.271230229271624
1979-05-01,1979,5,15.587999999,0.0,15.595986110215273,15.587999999,0.392864036839069
1979-06-01,1979,6,15.614999999,0.0,15.580986110215276,15.614999999,0.17321016167393122
1979-07-01,1979,7,15.609999999,0.0,15.578736110215274,15.609999999,-0.03202049311764599
1979-08-01,1979,8,15.604999999,0.0,15.577486110215276,15.604999999,-0.032030749521583246
1979-09-01,1979,9,15.627999999,0.0,15.573402776881942,15.627999999,0.14738865749102104
1979-10-01,1979,10,15.681999999,0.0,15.579652776881941,15.681999999,0.3455336575598711
1979-11-01,1979,11,15.623,0.0,15.583402776965274,15.623,-0.3762275156470096
1979-12-01,1979,12,15.483,0.0,15.576736110381942,15.483,-0.8961147026819383
1980-01-01,1980,1,16.5344166661667,0.0,15.656951388180559,16.5344166661667,6.790781283773795
1980-02-01,1980,2,15.603,0.0,15.665284721597224,15.603,-5.633199434683389
1980-03-01,1980,3,16.059,0.0,15.713118055013892,16.059,2.9225149009805884
1980-04-01,1980,4,16.225999999,0.0,15.771368054930557,16.225999999,1.0399153060588917
1980-05-01,1980,5,16.007999999,0.0,15.806368054930559,16.007999999,-1.3435227413622242
1980-06-01,1980,6,16.037999999,0.0,15.841618054930557,16.037999999,0.18740629686329058
1980-07-01,1980,7,16.083999999,0.0,15.881118054930559,16.083999999,0.28681880535519344
